A palavra  aparece 21 vezes
A palavra TRANQUILLOS aparece 1 vezes
A palavra 1.F.6 aparece 1 vezes
A palavra PROFERIU aparece 1 vezes
A palavra BATENDO-LHE aparece 1 vezes
A palavra TROCAVA aparece 1 vezes
A palavra BAILADOS aparece 1 vezes
A palavra FALLIU aparece 1 vezes
A palavra NATURALIDADE aparece 1 vezes
A palavra SURDOS aparece 2 vezes
A palavra PAGAR aparece 7 vezes
A palavra TRADEMARK/COPYRIGHT aparece 1 vezes
A palavra DESERTA aparece 1 vezes
A palavra MACHINE aparece 1 vezes
A palavra PROCURAM aparece 1 vezes
A palavra COMQUANTO aparece 4 vezes
A palavra ROEMOS aparece 4 vezes
A palavra DESPEDIR-ME aparece 2 vezes
A palavra EXPÒR aparece 1 vezes
A palavra LEMBRARAM aparece 1 vezes
A palavra SANTOS aparece 8 vezes
A palavra MELANCOLICOS aparece 1 vezes
A palavra SAINDO aparece 6 vezes
A palavra CAP aparece 4 vezes
A palavra OCCORRIDO aparece 1 vezes
A palavra TRUZ aparece 1 vezes
A palavra ABENÇOAR aparece 1 vezes
A palavra POUCO aparece 75 vezes
A palavra EMENDOU aparece 3 vezes
A palavra BAILARINA aparece 1 vezes
A palavra VERSION aparece 1 vezes
A palavra TRIGUEIRA aparece 1 vezes
A palavra FESTAS aparece 5 vezes
A palavra ALCOVA aparece 4 vezes
A palavra MANHÃS aparece 7 vezes
A palavra BALBUCIEI aparece 1 vezes
A palavra COMMOVER aparece 1 vezes
A palavra CRISES aparece 2 vezes
A palavra TREM aparece 6 vezes
A palavra CONHECE aparece 2 vezes
A palavra MEIO-CERRADAS aparece 1 vezes
A palavra ESPECTADORES aparece 1 vezes
A palavra PAGES aparece 1 vezes
A palavra COMPOSTO aparece 5 vezes
A palavra HESITAR aparece 3 vezes
A palavra FEIAS aparece 1 vezes
A palavra D'ONDE aparece 1 vezes
A palavra ATAR aparece 1 vezes
A palavra PLANO aparece 9 vezes
A palavra ABRIRA aparece 2 vezes
A palavra TITULO,--ISTO aparece 1 vezes
A palavra VIR aparece 19 vezes
A palavra XXXVIII aparece 2 vezes
A palavra EMBORA!» aparece 1 vezes
A palavra CHEGA aparece 4 vezes
A palavra VIGESIMO aparece 1 vezes
A palavra PERDOE aparece 3 vezes
A palavra IMAGINAÇÕES aparece 1 vezes
A palavra MANTER aparece 1 vezes
A palavra DUVIDARIA aparece 1 vezes
A palavra DUZENTOS aparece 1 vezes
A palavra EM aparece 462 vezes
A palavra ENTRANHAS aparece 1 vezes
A palavra ABAIXO aparece 5 vezes
A palavra TINIR aparece 1 vezes
A palavra FEE aparece 8 vezes
A palavra PENITENCIA aparece 1 vezes
A palavra TENENTE aparece 1 vezes
A palavra LIV aparece 2 vezes
A palavra PARTIA aparece 2 vezes
A palavra RASPASSE aparece 1 vezes
A palavra VARAS aparece 3 vezes
A palavra ENSINOU-LHE aparece 1 vezes
A palavra RIU aparece 5 vezes
A palavra 15 aparece 1 vezes
A palavra ALJUBE aparece 2 vezes
A palavra VAZIA aparece 1 vezes
A palavra ORTIGAS aparece 1 vezes
A palavra CHUMBO aparece 1 vezes
A palavra DITA aparece 2 vezes
A palavra ENCERREM aparece 1 vezes
A palavra INTRUSO aparece 1 vezes
A palavra PARECER aparece 7 vezes
A palavra DISTRIBUIR aparece 1 vezes
A palavra LXXIX aparece 2 vezes
A palavra CXX aparece 2 vezes
A palavra CONSIDERA aparece 1 vezes
A palavra MULHER aparece 31 vezes
A palavra FASTIO aparece 1 vezes
A palavra PONTO,--LEMBRA-ME aparece 1 vezes
A palavra SORRIR aparece 1 vezes
A palavra CORTEZIAS aparece 1 vezes
A palavra ENVOLVIAM aparece 1 vezes
A palavra TACTO aparece 1 vezes
A palavra COMPANHEIRAS aparece 1 vezes
A palavra RECOLHIMENTO aparece 1 vezes
A palavra TEMPERANDO aparece 1 vezes
A palavra FRENETICOS aparece 1 vezes
A palavra SEUS aparece 58 vezes
A palavra INQUIRIU-ME aparece 1 vezes
A palavra COMPRESSED aparece 1 vezes
A palavra SEMINARIOS aparece 1 vezes
A palavra SACUDI aparece 3 vezes
A palavra TEIMAVA aparece 4 vezes
A palavra ACABAS aparece 1 vezes
A palavra QUEIMANDO aparece 1 vezes
A palavra INCLINOU-SE aparece 2 vezes
A palavra ACCENDIA aparece 1 vezes
A palavra FRIAS aparece 2 vezes
A palavra TRAJAVA aparece 1 vezes
A palavra VIAGEM aparece 13 vezes
A palavra SUSPIROU aparece 10 vezes
A palavra MEXER aparece 1 vezes
A palavra POSSUIA aparece 5 vezes
A palavra EMPHATICO aparece 2 vezes
A palavra TRANSTORNOU aparece 1 vezes
A palavra ESTIMAR-SE aparece 1 vezes
A palavra MISSA aparece 28 vezes
A palavra EDEN aparece 1 vezes
A palavra 501(C)(3 aparece 1 vezes
A palavra SELLA aparece 1 vezes
A palavra ALMOCEI aparece 1 vezes
A palavra OPINAVA aparece 1 vezes
A palavra ESFORÇO aparece 4 vezes
A palavra DIRECÇÃO aparece 3 vezes
A palavra FORMULEI aparece 2 vezes
A palavra EMPALLIDECER aparece 1 vezes
A palavra CONTRARIO aparece 26 vezes
A palavra MATAVA aparece 2 vezes
A palavra SUBMISSAS aparece 1 vezes
A palavra COPY aparece 12 vezes
A palavra QUARTA-FEIRA aparece 2 vezes
A palavra CAVATINA aparece 1 vezes
A palavra PREGÃO aparece 1 vezes
A palavra VIROU-SE aparece 1 vezes
A palavra SUCCEDE aparece 1 vezes
A palavra PADRE aparece 111 vezes
A palavra DESINENCIA aparece 1 vezes
A palavra VESTIDO aparece 9 vezes
A palavra CONFIRMAVA aparece 2 vezes
A palavra INTERINIDADE aparece 2 vezes
A palavra CABIMENTO aparece 1 vezes
A palavra TUSSO aparece 1 vezes
A palavra SIGNIFICAR aparece 1 vezes
A palavra PARIR aparece 1 vezes
A palavra LEIA aparece 2 vezes
A palavra PODIAM aparece 14 vezes
A palavra DEFICIT aparece 1 vezes
A palavra ACABASSE aparece 5 vezes
A palavra BENGUELLA aparece 1 vezes
A palavra MERECIMENTO aparece 1 vezes
A palavra ORGANIZED aparece 1 vezes
A palavra DESFORRAR aparece 1 vezes
A palavra REMETTEU aparece 1 vezes
A palavra DORES aparece 1 vezes
